,archive_dict,category_dict,click_num,comments_num,creation_num,description,fan_num,like_num,rank,score,url
10,"[{'2018年11月': '1篇', '2018年10月': '4篇', '2018年9月': '8篇', '2018年5月': '1篇', '2018年4月': '1篇', '2018年2月': '4篇', '2018年1月': '2篇', '2017年12月': '2篇', '2017年11月': '7篇', '2017年7月': '2篇', '2017年6月': '3篇', '2017年5月': '4篇', '2017年4月': '2篇', '2016年10月': '2篇', '2016年9月': '3篇', '2016年8月': '1篇', '2016年6月': '6篇', '2016年5月': '6篇', '2016年4月': '5篇', '2016年3月': '5篇', '2016年2月': '9篇', '2016年1月': '5篇', '2015年12月': '7篇'}]","[{'性能优化': '6篇', '调试技巧': '11篇', 'OpenCV': '20篇', 'ACM': '3篇', '项目管理': '4篇', '心情日记': '3篇', 'Others': '4篇', 'GPU': '3篇', 'android': '1篇', '模式识别': '2篇', 'VR': '2篇', 'caffe': '2篇', 'deep learning': '13篇', 'Computer Vison': '26篇', 'SLAM': '4篇', '基础算法': '29篇'}]",['10万+'],['19'],['33'],[''],['53'],['22'],['4万+'],['1456'],https://blog.csdn.net/u014652390/
11,"[{'2018年10月': '1篇', '2018年8月': '31篇', '2018年7月': '40篇', '2018年6月': '18篇', '2018年5月': '4篇', '2018年4月': '13篇', '2018年3月': '27篇', '2017年11月': '1篇', '2017年10月': '3篇', '2017年9月': '6篇', '2017年7月': '4篇', '2017年5月': '1篇', '2017年4月': '4篇', '2017年3月': '1篇', '2017年2月': '2篇', '2017年1月': '2篇', '2016年12月': '1篇', '2016年11月': '3篇', '2016年10月': '1篇', '2016年9月': '3篇', '2016年8月': '30篇', '2016年7月': '22篇', '2016年6月': '27篇', '2016年5月': '37篇', '2016年4月': '30篇', '2016年3月': '39篇', '2016年2月': '20篇'}]","[{'Linux': '12篇', '算法设计': '116篇', 'C++': '264篇', 'Vim': '2篇', '贪心算法': '8篇', '图论': '32篇', '计算几何': '4篇', '动态规划': '35篇', '递归': '10篇', '数论': '28篇', '搜索': '27篇', '最短路': '7篇', '最小生成树': '6篇', '最大流': '5篇', '二分图': '6篇', '并查集': '4篇', '快速查找': '2篇', '高精度': '2篇', '程序员': '3篇', '分治': '3篇', '枚举': '2篇', 'Matlab': '7篇', 'Android': '2篇', 'CCF': '18篇', '操作系统': '4篇', '排序': '19篇', 'ege': '1篇', 'Objective-C': '1篇', '二叉树': '28篇', 'STL': '7篇', '字符串': '13篇', '深度学习': '11篇', 'Cocos2d-x': '1篇', '九度OJ': '67篇', 'MIPS': '1篇', '机器学习': '8篇', '数据库': '1篇', 'java': '1篇', '面试': '1篇', '计算机网络': '1篇', '华为OJ': '5篇', '设计模式': '1篇', 'python': '28篇', 'Qt': '5篇', '音频处理': '6篇', '神经网络': '8篇', '数学': '9篇', '蓝桥杯': '25篇', 'PyTorch': '3篇', 'LeetCode': '94篇', 'opencv': '1篇'}]",['40万+'],['154'],['352'],['待到山花烂漫时，她在丛中笑'],['149'],['95'],['4808'],['7145'],https://blog.csdn.net/Jaster_wisdom/
12,"[{'2018年10月': '3篇', '2018年8月': '1篇', '2018年7月': '5篇', '2018年6月': '5篇', '2018年5月': '1篇', '2018年4月': '2篇', '2018年3月': '4篇', '2018年2月': '3篇', '2018年1月': '8篇', '2017年12月': '7篇', '2017年11月': '12篇', '2017年10月': '9篇', '2017年9月': '1篇', '2017年8月': '4篇', '2017年7月': '3篇', '2017年6月': '16篇', '2017年5月': '7篇', '2017年4月': '2篇', '2017年3月': '4篇', '2017年2月': '5篇', '2017年1月': '2篇', '2016年12月': '2篇', '2016年11月': '7篇', '2016年10月': '27篇', '2016年9月': '1篇', '2016年8月': '1篇', '2016年6月': '1篇', '2016年5月': '2篇', '2016年4月': '13篇', '2016年3月': '29篇', '2016年2月': '10篇', '2016年1月': '12篇', '2015年11月': '5篇', '2015年10月': '1篇', '2015年9月': '11篇', '2015年8月': '9篇', '2015年7月': '5篇', '2015年6月': '2篇', '2015年5月': '10篇', '2015年4月': '7篇', '2015年3月': '20篇', '2015年2月': '9篇', '2015年1月': '17篇', '2014年12月': '14篇', '2014年11月': '4篇', '2014年10月': '23篇', '2014年9月': '18篇', '2014年8月': '29篇', '2014年7月': '11篇', '2014年6月': '8篇', '2014年5月': '20篇', '2014年4月': '21篇', '2014年3月': '19篇', '2014年2月': '19篇', '2014年1月': '55篇', '2013年12月': '40篇', '2013年11月': '10篇', '2013年10月': '2篇', '2013年7月': '7篇'}]","[{'嵌入式': '316篇', 'android': '38篇', '云计算': '1篇', 'linux驱动': '60篇', 'linux应用': '106篇', 'linux系统': '61篇', '服装设计': '5篇', '无人机': '29篇', '计算机视觉': '25篇', '人工智能': '10篇', '区块链': '2篇'}]",['70万+'],['47'],['51'],['钻研嵌入式，改变未来'],['157'],"['51', '50']",['3637'],['8330'],https://blog.csdn.net/zdf511391565/
13,"[{'2018年12月': '1篇', '2018年11月': '1篇', '2018年9月': '12篇', '2018年8月': '10篇', '2018年7月': '15篇'}]","[{'openCV': '25篇', 'Python': '3篇', 'TensorFlow': '9篇', 'Pycharm': '1篇', 'Java': '1篇'}]",['21万+'],['2'],['27'],[''],['27'],['43'],['2万+'],['2405'],https://blog.csdn.net/guoyunfei123/
14,"[{'2017年2月': '8篇', '2016年11月': '2篇', '2016年9月': '3篇', '2016年8月': '3篇', '2014年1月': '1篇', '2013年11月': '5篇', '2013年10月': '21篇', '2013年9月': '1篇'}]","[{'徐海蛟教学': '36篇', '他山之石': '6篇', '徐海蛟': '15篇', '徐海蛟博士': '8篇'}]",['10万+'],['9'],['8'],['徐海蛟博士，华中科技大学计算机博士，数据与软件工程实验室，前外企技术总监CTO，深圳电信培训中心首席技术顾问、高级讲师、高级工程师、杰出讲师，深圳电信数据库Oracle特聘讲师、顾问，丰富的大型数据库...'],['76'],['14'],['5万+'],['1176'],https://blog.csdn.net/u012260637/
15,"[{'2018年9月': '1篇', '2017年11月': '1篇', '2017年10月': '3篇', '2017年7月': '1篇', '2017年6月': '5篇'}]","[{'python': '8篇', 'python爬虫': '1篇', '自然语言处理': '3篇', '数据分析': '1篇'}]",['4785'],['0'],['10'],[''],['3'],['0'],['118万+'],['146'],https://blog.csdn.net/liying700/
16,"[{'2015年1月': '6篇', '2014年12月': '21篇', '2014年11月': '8篇', '2014年10月': '11篇'}]","[{'python': '1篇', 'matlab': '1篇'}]",['5万+'],['2'],['3'],[''],['15'],['4'],['9万+'],['645'],https://blog.csdn.net/sruixue/
17,"[{'2018年11月': '13篇', '2018年10月': '4篇', '2018年9月': '4篇', '2018年8月': '2篇', '2018年7月': '4篇', '2018年6月': '11篇', '2018年5月': '6篇', '2018年4月': '3篇', '2018年1月': '1篇', '2017年12月': '1篇', '2017年11月': '7篇', '2017年10月': '28篇', '2017年9月': '1篇', '2017年6月': '2篇', '2017年5月': '2篇'}]",['null'],['2万+'],['4'],['85'],[''],['14'],['8'],['5万+'],['1113'],https://blog.csdn.net/msup789/
18,"[{'2014年5月': '3篇', '2014年3月': '5篇', '2013年12月': '2篇', '2013年11月': '22篇', '2013年10月': '8篇'}]","[{'算法 数据结构': '15篇', '大数据 数据挖掘': '10篇', '图像处理 计算机视觉': '8篇', '产品': '5篇', '并行计算': '4篇', '面试': '2篇', '软件': '1篇', 'Internet': '1篇', 'python': '2篇', '游戏开发': '3篇'}]",['4万+'],['4'],['15'],['专注于go语言和erlang语言在游戏服务器领域的应用开发'],['21'],['1'],['8万+'],['692'],https://blog.csdn.net/u012337841/
19,"[{'2018年12月': '25篇', '2018年11月': '3篇', '2018年10月': '4篇', '2018年9月': '20篇', '2018年8月': '37篇', '2018年7月': '45篇', '2018年6月': '4篇', '2018年5月': '2篇', '2018年2月': '1篇', '2018年1月': '15篇', '2017年12月': '8篇', '2017年11月': '6篇'}]","[{'Rcode': '11篇', 'Rpackage': '7篇', 'Python': '16篇', 'SQL': '21篇', 'Excel': '8篇', 'Rscript': '4篇', '数据分析': '46篇', 'R可视化': '6篇', 'shell': '4篇', 'Hive': '16篇', 'PM': '3篇', 'Linus': '2篇', 'SPSS': '6篇', '面试': '5篇', '领扣leetcode': '17篇'}]",['3万+'],['5'],['166'],['为菜某打call'],['16'],['11'],['3万+'],['1930'],https://blog.csdn.net/TOMOCAT/
20,"[{'2018年7月': '1篇', '2018年6月': '3篇', '2018年5月': '1篇', '2017年12月': '1篇', '2017年10月': '1篇', '2017年8月': '1篇', '2017年5月': '8篇', '2017年4月': '2篇', '2017年3月': '2篇', '2017年2月': '1篇', '2016年11月': '1篇', '2016年10月': '3篇', '2016年9月': '8篇', '2016年8月': '4篇', '2016年7月': '12篇', '2016年5月': '1篇', '2016年2月': '16篇', '2016年1月': '12篇', '2015年12月': '18篇', '2015年9月': '5篇', '2015年8月': '1篇', '2015年6月': '1篇', '2015年5月': '5篇', '2015年4月': '4篇', '2015年2月': '1篇', '2015年1月': '1篇', '2014年11月': '2篇', '2014年10月': '1篇', '2014年9月': '10篇', '2014年8月': '16篇', '2014年7月': '5篇', '2014年6月': '6篇', '2014年5月': '9篇', '2014年4月': '6篇', '2014年3月': '11篇', '2014年2月': '5篇', '2014年1月': '16篇', '2013年12月': '28篇', '2013年11月': '17篇', '2013年10月': '5篇', '2013年9月': '3篇', '2013年8月': '14篇', '2013年7月': '18篇', '2013年6月': '23篇', '2013年5月': '9篇', '2013年4月': '13篇', '2013年3月': '25篇', '2013年2月': '12篇', '2013年1月': '22篇', '2012年12月': '20篇', '2012年11月': '29篇', '2012年10月': '13篇', '2012年9月': '11篇', '2012年8月': '5篇', '2012年7月': '11篇', '2012年6月': '22篇', '2012年5月': '7篇', '2012年4月': '23篇', '2012年3月': '18篇', '2012年2月': '13篇', '2012年1月': '12篇', '2011年12月': '21篇', '2011年11月': '18篇', '2011年10月': '31篇', '2011年9月': '18篇', '2011年8月': '3篇', '2011年7月': '3篇', '2011年6月': '15篇', '2011年5月': '7篇', '2011年4月': '16篇', '2011年3月': '18篇', '2011年2月': '6篇', '2011年1月': '2篇', '2010年12月': '23篇', '2010年11月': '7篇', '2010年10月': '7篇', '2010年9月': '19篇', '2010年7月': '5篇', '2010年6月': '3篇', '2010年5月': '13篇', '2010年4月': '10篇', '2009年11月': '2篇'}]","[{'golang': '22篇', '云计算/大数据': '92篇', 'IOS 常规': '23篇', 'Android 常规': '47篇', '重构C/C++': '151篇', '重构Java': '15篇', '技术面经': '20篇', 'Coding实战': '13篇', 'Web网站设计': '81篇', 'Android 多媒体': '56篇', 'PKU Research': '65篇', '开源硬件Raspberry': '18篇', '流媒体基础': '51篇', 'Ubuntu/OS X系统': '103篇', '杂记/八卦': '67篇'}]",['274万+'],['293'],['456'],['解决一些遇到的小麻烦'],['687'],['65'],['298'],['2万+'],https://blog.csdn.net/scut1135/
21,"[{'2018年11月': '1篇', '2015年3月': '1篇', '2014年8月': '2篇'}]",['null'],['2539'],['0'],['2'],[''],['0'],['0'],['189万+'],['48'],https://blog.csdn.net/u012851870/
22,"[{'2018年12月': '2篇', '2018年11月': '2篇', '2018年10月': '1篇', '2018年9月': '2篇', '2018年8月': '1篇', '2018年7月': '6篇', '2018年5月': '6篇', '2018年4月': '5篇', '2018年3月': '6篇', '2018年2月': '4篇', '2018年1月': '10篇', '2017年12月': '13篇', '2017年11月': '6篇', '2017年10月': '7篇', '2017年9月': '63篇', '2017年8月': '11篇', '2017年7月': '11篇', '2017年6月': '18篇', '2017年5月': '3篇', '2017年4月': '9篇', '2017年1月': '2篇', '2016年12月': '1篇', '2016年11月': '3篇', '2016年10月': '3篇', '2016年9月': '3篇', '2016年8月': '3篇', '2016年7月': '6篇', '2016年6月': '2篇', '2016年4月': '1篇', '2016年3月': '6篇', '2016年2月': '5篇', '2016年1月': '11篇', '2015年12月': '19篇', '2015年11月': '5篇', '2015年10月': '6篇', '2015年9月': '8篇', '2015年8月': '6篇'}]","[{'数据库': '16篇', 'C': '23篇', 'C++': '33篇', 'VC++': '56篇', 'Python': '56篇', 'Pycharm': '45篇', 'VBA': '19篇', 'excel': '5篇', 'Linux': '1篇', '正则表达式': '2篇', '算法': '13篇', '架构': '4篇', '射频': '2篇', 'PM': '1篇', 'xml': '2篇', 'bat': '1篇', 'ML': '5篇', 'Interview': '5篇', 'Android APP': '2篇'}]",['24万+'],['13'],['126'],[''],['55'],['25'],['1万+'],['3858'],https://blog.csdn.net/Gordennizaicunzai/
23,"[{'2018年7月': '5篇', '2018年3月': '1篇', '2018年1月': '1篇'}]",['null'],['1万+'],['1'],['2'],[''],['5'],['8'],['115万+'],['151'],https://blog.csdn.net/qq_37023388/
24,"[{'2018年12月': '1篇', '2018年11月': '2篇', '2018年10月': '7篇', '2018年9月': '3篇', '2018年8月': '3篇', '2018年7月': '24篇', '2018年6月': '1篇', '2018年5月': '6篇', '2018年4月': '8篇', '2018年3月': '23篇', '2018年2月': '4篇', '2018年1月': '31篇', '2017年12月': '55篇', '2017年11月': '5篇', '2017年10月': '12篇', '2017年9月': '12篇', '2017年8月': '4篇', '2017年7月': '6篇', '2017年5月': '2篇'}]","[{'机器学习篇': '4篇', '数据结构与算法篇': '28篇', '操作系统篇': '10篇', '学习笔记': '21篇', 'java篇': '50篇', 'spring': '14篇', 'python篇': '2篇', 'C/C++篇': '7篇', '杂记': '65篇'}]",['14万+'],['10'],['168'],['个人的学习笔记，如有问题，敬请斧正'],['27'],['9'],['1万+'],['2736'],https://blog.csdn.net/yin__ren/
25,"[{'2018年7月': '1篇', '2018年1月': '1篇', '2017年9月': '3篇', '2017年8月': '1篇', '2017年7月': '4篇', '2017年6月': '1篇'}]","[{'机器学习算法原理与编程实践': '3篇', '计算机视觉 论文阅读': '1篇', '工程实践': '5篇', '算法': '1篇', 'caffe源代码阅读': '1篇'}]",['7728'],['1'],['9'],[''],['7'],['6'],['108万+'],['176'],https://blog.csdn.net/weixin_36612847/
26,"[{'2018年12月': '1篇', '2018年9月': '2篇', '2018年8月': '4篇', '2018年7月': '1篇', '2018年6月': '3篇', '2018年3月': '2篇', '2017年12月': '2篇'}]","[{'机器学习': '4篇', 'Tensorflow': '4篇', '网络分析': '5篇', '运维': '2篇'}]",['2万+'],['8'],['15'],[''],['16'],['11'],['13万+'],['431'],https://blog.csdn.net/limiyudianzi/
27,"[{'2016年8月': '1篇', '2015年9月': '1篇', '2014年10月': '1篇', '2014年8月': '14篇', '2014年7月': '5篇', '2014年6月': '1篇'}]",['null'],['1万+'],['1'],['3'],[''],['18'],"['3', '0']",['95万+'],['197'],https://blog.csdn.net/aboluo321321/
28,"[{'2018年3月': '4篇', '2018年2月': '8篇', '2018年1月': '3篇', '2017年11月': '1篇'}]","[{'ML_DL_NLP': '6篇', '软件安装': '1篇', 'AI_ML': '2篇', 'SQL Server and ML': '6篇'}]",['7264'],['0'],['17'],['一位热衷人工智能的学者'],['10'],['14'],['38万+'],['218'],https://blog.csdn.net/WQ963369/
29,"[{'2015年6月': '8篇', '2015年5月': '4篇', '2015年4月': '6篇', '2015年3月': '3篇', '2015年1月': '2篇', '2014年12月': '12篇', '2014年11月': '15篇', '2014年10月': '12篇', '2014年9月': '16篇', '2014年8月': '8篇', '2014年7月': '4篇', '2014年5月': '5篇', '2014年4月': '8篇'}]","[{'C++基础': '31篇', '数据结构': '12篇', 'ACM 算法': '21篇', '多线程 同步': '1篇', '设计模式': '1篇', 'Hadoop': '34篇', '招聘信息': '1篇', '机器学习': '4篇', 'makefile': '2篇', 'linux': '9篇', '电脑杂谈': '3篇', '剑指offer 面试': '3篇', 'Hadoop 面试': '1篇', 'Python': '2篇'}]",['13万+'],['10'],['102'],['点滴积累'],['23'],['6'],['2万+'],['2323'],https://blog.csdn.net/u011561690/
30,"[{'2018年11月': '5篇', '2018年10月': '3篇', '2018年9月': '2篇', '2018年8月': '4篇', '2018年6月': '3篇', '2018年5月': '10篇', '2018年4月': '2篇', '2018年1月': '3篇', '2017年12月': '2篇', '2017年11月': '1篇', '2017年9月': '8篇', '2017年8月': '8篇', '2017年7月': '9篇', '2017年6月': '5篇', '2017年5月': '5篇', '2017年4月': '5篇', '2017年3月': '5篇', '2017年2月': '13篇', '2017年1月': '4篇', '2016年12月': '13篇', '2016年11月': '2篇', '2016年10月': '4篇', '2016年9月': '6篇', '2016年8月': '4篇', '2016年7月': '1篇', '2016年6月': '11篇', '2016年5月': '13篇', '2016年4月': '7篇', '2016年3月': '2篇'}]","[{'立体视觉': '13篇', 'C++': '29篇', 'OpenCV': '27篇', '特征点检测': '6篇', 'Linux': '9篇', 'HTML': '1篇', 'CSS3': '5篇', '学习': '43篇', 'Matlab': '11篇', 'GPU': '2篇', 'c语言': '1篇', '神经网络': '4篇', '机器学习': '24篇', 'python': '16篇', 'NLP': '1篇'}]",['47万+'],['64'],['110'],['好好学习，天天向上'],['209'],"['110', '253']",['7867'],['5302'],https://blog.csdn.net/laobai1015/
31,"[{'2013年4月': '1篇', '2011年5月': '1篇', '2011年3月': '2篇', '2011年2月': '1篇', '2011年1月': '7篇', '2010年12月': '4篇', '2010年11月': '3篇', '2010年10月': '14篇', '2010年9月': '3篇', '2010年8月': '8篇', '2010年7月': '2篇', '2010年6月': '2篇', '2010年5月': '11篇', '2010年4月': '25篇', '2010年3月': '29篇', '2010年2月': '1篇', '2010年1月': '10篇', '2009年12月': '26篇', '2009年11月': '153篇', '2009年10月': '85篇', '2009年9月': '15篇', '2009年8月': '15篇', '2009年7月': '13篇', '2009年5月': '1篇', '2009年4月': '1篇', '2009年3月': '11篇', '2009年2月': '9篇', '2009年1月': '8篇', '2008年12月': '4篇', '2008年11月': '59篇', '2008年10月': '48篇', '2008年9月': '8篇', '2008年8月': '14篇', '2008年7月': '24篇', '2008年5月': '3篇', '2007年5月': '2篇', '2007年4月': '2篇'}]","[{'java 学习': '18篇', 'mat_lab': '51篇', 'svm研究': '16篇', 'TEX之路': '6篇', '探知索识': '55篇', '数学王国': '31篇', '数据挖掘': '60篇', '文本分类': '62篇', '机器学习': '83篇', '知识梳理': '35篇', '知识网格': '31篇', '科研之路': '99篇', '算法描述': '22篇', '问题集锦': '59篇'}]",['234万+'],['319'],['365'],['宁静致远'],['1750'],['35'],['374'],['2万+'],https://blog.csdn.net/chl033/
32,"[{'2018年11月': '1篇', '2018年10月': '1篇', '2018年6月': '2篇', '2018年3月': '2篇', '2018年1月': '4篇', '2017年11月': '1篇', '2017年10月': '1篇', '2017年9月': '1篇', '2017年8月': '3篇', '2017年7月': '1篇', '2016年12月': '1篇', '2016年5月': '1篇', '2016年4月': '3篇', '2016年3月': '3篇', '2016年2月': '7篇', '2016年1月': '5篇', '2015年12月': '1篇', '2015年11月': '2篇', '2015年10月': '1篇', '2015年9月': '3篇', '2015年8月': '9篇', '2014年4月': '1篇'}]","[{'java': '16篇', '算法': '5篇', 'jvm': '2篇', '设计模式': '6篇', '笔试面试': '2篇', '读书笔记《Thinking in java》': '1篇', 'java web': '5篇', 'AI数学基础': '4篇', '深度学习': '3篇', '机器学习': '7篇', 'coursera机器学习': '1篇', '深度学习工程师（Andrew Ng 5门课）': '2篇', 'goLang': '1篇'}]",['1万+'],['1'],['49'],[''],['10'],['2'],['9万+'],['644'],https://blog.csdn.net/wwyl1001/
33,"[{'2018年4月': '2篇', '2017年4月': '1篇', '2017年3月': '3篇', '2017年2月': '2篇', '2017年1月': '6篇'}]","[{'机器学习': '2篇', '华为机试': '8篇', '深度学习': '2篇', 'python': '2篇'}]",['1万+'],['4'],['14'],[''],['3'],['2'],['27万+'],['318'],https://blog.csdn.net/u013206066/
34,"[{'2016年3月': '2篇', '2015年5月': '1篇', '2015年1月': '1篇', '2013年11月': '1篇', '2013年5月': '1篇'}]","[{'开发工具、环境使用': '1篇', 'Android开发学习': '1篇', 'Win驱动开发': '1篇', 'Linux': '1篇', '课程学习笔记': '2篇'}]",['8530'],['1'],['5'],['登高必自卑，行远必自迩。'],['3'],['0'],['118万+'],['143'],https://blog.csdn.net/knightzj/
